epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5818,3.87296,5.75153,2.99842,0,0,0,0,3.52697,6.66038,2.70545,0.000524796,0.000524796,0.000524796
2,149.399,3.55988,5.00106,2.56321,0.00012,0.01852,0,0,3.49482,5.87676,2.65354,0.00107941,0.00107941,0.00107941
3,223.561,3.51548,4.71764,2.5841,0.00029,0.03704,1e-05,0,4.61713,8.24368,8.91391,0.00162974,0.00162974,0.00162974
4,298.346,3.55929,4.59427,2.50662,0.00021,0.03704,2e-05,0,4.68651,6.02374,4.36498,0.00165238,0.00165238,0.00165238
5,372.356,3.41885,4.54347,2.42961,0.00634,0.00926,0.00017,3e-05,4.8098,11.5961,25.539,0.00164108,0.00164108,0.00164108
6,449.395,3.20829,4.23856,2.31706,0.00954,0.37037,0.00546,0.00119,3.08727,27.6334,2.30826,0.00162661,0.00162661,0.00162661
7,662.37,3.19991,4.23026,2.31054,0.00699,0.01852,0.00094,0.00018,3.30464,16.2675,2.49546,0.00160905,0.00160905,0.00160905
8,1073.4,3.15747,4.11344,2.28859,0.00576,0.03704,0.00251,0.0007,3.17284,7.32636,2.42743,0.00158847,0.00158847,0.00158847
9,1392.53,3.25643,4.04442,2.26998,0.00128,0.32407,0.00228,0.00069,3.34696,4.94193,2.42201,0.00156493,0.00156493,0.00156493
10,1514.45,3.23766,3.92647,2.28883,0.00487,0.0463,0.00116,0.00024,3.70502,5.95142,3.06612,0.00153854,0.00153854,0.00153854
11,1588.65,3.18548,3.82071,2.30628,0.03019,0.02778,0.00533,0.00112,3.52154,7.99449,2.73046,0.00150941,0.00150941,0.00150941
12,2620.16,3.33893,3.79864,2.37819,0.0247,0.02778,0.00564,0.00117,3.31763,5.05957,2.42568,0.00147764,0.00147764,0.00147764
13,2794.93,3.16146,3.62235,2.26145,0.01748,0.03704,0.00212,0.00057,3.63433,5.15229,2.6596,0.00144335,0.00144335,0.00144335
14,3159.53,3.27454,3.6936,2.33503,0.02021,0.03704,0.00564,0.00132,3.64195,4.43688,2.6169,0.0014067,0.0014067,0.0014067
15,3434.78,3.26978,3.60816,2.35007,0.01435,0.12037,0.0077,0.0028,3.19232,4.30806,2.25629,0.00136781,0.00136781,0.00136781
16,3616.94,3.20502,3.56813,2.2663,0.1679,0.00926,0.00665,0.00201,3.36719,3.77467,2.54446,0.00132685,0.00132685,0.00132685
17,3694.54,3.11193,3.54094,2.26162,0.15594,0.00926,0.007,0.00133,3.59345,3.46901,2.77664,0.00128398,0.00128398,0.00128398
18,3788.88,3.06351,3.55733,2.24801,0.01178,0.00926,0.00615,0.00209,3.39691,3.85543,2.6607,0.00123936,0.00123936,0.00123936
19,3895.53,3.12353,3.54797,2.30269,0.00187,0.39815,0.00744,0.00231,3.43252,3.83127,2.43404,0.00119317,0.00119317,0.00119317
